ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_450_Nucleus.ome.tiff,image_450_Nucleus.ome_fake_B.png,0.7727,0.1237,0.0681,62.1320,0.3060
image_1635_Nucleus.ome.tiff,image_1635_Nucleus.ome_fake_B.png,0.7658,0.4824,0.0585,59.2710,0.1805
image_2375_Nucleus.ome.tiff,image_2375_Nucleus.ome_fake_B.png,0.7666,0.5584,0.0467,234.5972,0.3706
image_308_Nucleus.ome.tiff,image_308_Nucleus.ome_fake_B.png,0.1594,0.2580,0.2627,357.4180,0.4714
image_1924_Nucleus.ome.tiff,image_1924_Nucleus.ome_fake_B.png,0.5741,0.1362,0.0870,143.7570,0.2301
image_1555_Nucleus.ome.tiff,image_1555_Nucleus.ome_fake_B.png,0.8572,0.6081,0.0370,41.2993,0.1237
image_2182_Nucleus.ome.tiff,image_2182_Nucleus.ome_fake_B.png,0.6401,0.2339,0.0658,121.5098,0.2053
image_2001_Nucleus.ome.tiff,image_2001_Nucleus.ome_fake_B.png,0.6423,0.4823,0.0565,108.1333,0.1613
image_1973_Nucleus.ome.tiff,image_1973_Nucleus.ome_fake_B.png,0.5992,0.2700,0.0812,128.4504,0.1729
image_1153_Nucleus.ome.tiff,image_1153_Nucleus.ome_fake_B.png,0.7160,0.4607,0.0752,58.4335,0.1674
image_2027_Nucleus.ome.tiff,image_2027_Nucleus.ome_fake_B.png,0.5825,0.2580,0.0852,144.9824,0.2499
image_490_Nucleus.ome.tiff,image_490_Nucleus.ome_fake_B.png,0.6443,0.4504,0.0563,49.7000,0.3488
image_1851_Nucleus.ome.tiff,image_1851_Nucleus.ome_fake_B.png,0.6631,0.2723,0.0677,122.3958,0.2209
image_12_Nucleus.ome.tiff,image_12_Nucleus.ome_fake_B.png,0.5822,0.2275,0.0654,241.0276,0.4325
image_1269_Nucleus.ome.tiff,image_1269_Nucleus.ome_fake_B.png,0.6225,0.4524,0.0693,64.0931,0.3679
image_596_Nucleus.ome.tiff,image_596_Nucleus.ome_fake_B.png,0.7017,0.3343,0.0578,58.2315,0.4519
image_1940_Nucleus.ome.tiff,image_1940_Nucleus.ome_fake_B.png,0.6977,0.5090,0.0502,93.3906,0.1409
image_2323_Nucleus.ome.tiff,image_2323_Nucleus.ome_fake_B.png,0.7606,0.7356,0.0423,191.8200,0.2054
image_762_Nucleus.ome.tiff,image_762_Nucleus.ome_fake_B.png,0.4967,0.2767,0.2233,122.0816,0.1500
image_1130_Nucleus.ome.tiff,image_1130_Nucleus.ome_fake_B.png,0.6860,0.2380,0.0953,74.2365,0.2624
image_91_Nucleus.ome.tiff,image_91_Nucleus.ome_fake_B.png,0.7194,0.3778,0.0597,134.2385,0.3884
image_382_Nucleus.ome.tiff,image_382_Nucleus.ome_fake_B.png,0.5919,0.2902,0.0481,140.7067,0.6389
image_2556_Nucleus.ome.tiff,image_2556_Nucleus.ome_fake_B.png,0.6254,0.3868,0.0305,160.2917,0.5668
image_2521_Nucleus.ome.tiff,image_2521_Nucleus.ome_fake_B.png,0.7120,0.2608,0.0542,278.9287,0.6351
image_851_Nucleus.ome.tiff,image_851_Nucleus.ome_fake_B.png,0.8121,0.1790,0.0495,56.7178,0.2254
image_850_Nucleus.ome.tiff,image_850_Nucleus.ome_fake_B.png,0.5733,0.6041,0.0510,50.0444,0.2979
image_408_Nucleus.ome.tiff,image_408_Nucleus.ome_fake_B.png,0.4148,0.2843,0.1613,252.6221,0.3537
image_2387_Nucleus.ome.tiff,image_2387_Nucleus.ome_fake_B.png,0.8134,0.7029,0.0259,174.2296,0.2730
image_1406_Nucleus.ome.tiff,image_1406_Nucleus.ome_fake_B.png,0.5472,0.3359,0.1143,78.8161,0.3073
image_1031_Nucleus.ome.tiff,image_1031_Nucleus.ome_fake_B.png,0.6750,0.1167,0.0743,75.1735,0.5838
image_1895_Nucleus.ome.tiff,image_1895_Nucleus.ome_fake_B.png,0.7362,0.7632,0.0565,80.0969,0.0645
image_329_Nucleus.ome.tiff,image_329_Nucleus.ome_fake_B.png,0.6295,0.7539,0.0303,83.4140,0.2298
image_298_Nucleus.ome.tiff,image_298_Nucleus.ome_fake_B.png,0.3357,0.1571,0.2184,315.9333,0.3640
image_791_Nucleus.ome.tiff,image_791_Nucleus.ome_fake_B.png,0.7594,0.6386,0.0409,44.0084,0.2488
image_1129_Nucleus.ome.tiff,image_1129_Nucleus.ome_fake_B.png,0.7792,0.5806,0.0598,53.8611,0.1588
image_1257_Nucleus.ome.tiff,image_1257_Nucleus.ome_fake_B.png,0.7577,0.6094,0.0456,51.3929,0.2818
image_2382_Nucleus.ome.tiff,image_2382_Nucleus.ome_fake_B.png,0.7948,0.6047,0.0415,230.9451,0.3354
image_1485_Nucleus.ome.tiff,image_1485_Nucleus.ome_fake_B.png,0.6578,0.0345,0.1213,100.8095,0.3462
image_2546_Nucleus.ome.tiff,image_2546_Nucleus.ome_fake_B.png,0.5920,0.2692,0.0553,259.2851,0.6607
image_600_Nucleus.ome.tiff,image_600_Nucleus.ome_fake_B.png,0.7954,0.5682,0.0635,54.8915,0.1410
image_2266_Nucleus.ome.tiff,image_2266_Nucleus.ome_fake_B.png,0.6553,0.2629,0.0590,112.8605,0.2014
image_1342_Nucleus.ome.tiff,image_1342_Nucleus.ome_fake_B.png,0.6753,0.5892,0.0643,62.6844,0.2636
image_2563_Nucleus.ome.tiff,image_2563_Nucleus.ome_fake_B.png,0.6577,0.3834,0.0352,181.3966,0.5608
image_2221_Nucleus.ome.tiff,image_2221_Nucleus.ome_fake_B.png,0.5709,0.2994,0.0801,135.8212,0.2150
image_451_Nucleus.ome.tiff,image_451_Nucleus.ome_fake_B.png,0.7246,0.4717,0.0546,58.2837,0.3664
image_217_Nucleus.ome.tiff,image_217_Nucleus.ome_fake_B.png,0.5020,0.5125,0.0863,293.3706,0.3167
image_1772_Nucleus.ome.tiff,image_1772_Nucleus.ome_fake_B.png,0.5316,0.3650,0.1048,135.0441,0.2243
image_355_Nucleus.ome.tiff,image_355_Nucleus.ome_fake_B.png,0.6776,0.7085,0.0365,101.8252,0.2421
image_945_Nucleus.ome.tiff,image_945_Nucleus.ome_fake_B.png,0.5281,0.0335,0.0883,75.3450,0.6283
image_880_Nucleus.ome.tiff,image_880_Nucleus.ome_fake_B.png,0.7067,0.4429,0.0569,58.7958,0.3900
image_2200_Nucleus.ome.tiff,image_2200_Nucleus.ome_fake_B.png,0.6794,0.5955,0.0571,92.2112,0.1224
image_2009_Nucleus.ome.tiff,image_2009_Nucleus.ome_fake_B.png,0.5197,0.2169,0.0967,141.5054,0.1950
image_983_Nucleus.ome.tiff,image_983_Nucleus.ome_fake_B.png,0.6450,0.2267,0.0774,74.9587,0.5247
image_1787_Nucleus.ome.tiff,image_1787_Nucleus.ome_fake_B.png,0.6510,0.4687,0.0582,112.7070,0.1785
image_2449_Nucleus.ome.tiff,image_2449_Nucleus.ome_fake_B.png,0.7245,0.5043,0.0646,258.4946,0.3368
