ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2175_Nucleus.ome.tiff,image_2175_Nucleus.ome_fake_B.png,0.5773,0.4190,0.0826,135.7123
image_1011_Nucleus.ome.tiff,image_1011_Nucleus.ome_fake_B.png,0.6515,0.4029,0.0765,73.9766
image_1488_Nucleus.ome.tiff,image_1488_Nucleus.ome_fake_B.png,0.2379,0.1936,0.4746,251.1231
image_1144_Nucleus.ome.tiff,image_1144_Nucleus.ome_fake_B.png,0.5365,0.0118,0.1721,132.8790
image_101_Nucleus.ome.tiff,image_101_Nucleus.ome_fake_B.png,0.2327,0.0932,0.2303,414.8109
image_554_Nucleus.ome.tiff,image_554_Nucleus.ome_fake_B.png,0.6853,-0.0875,0.0874,73.4990
image_156_Nucleus.ome.tiff,image_156_Nucleus.ome_fake_B.png,0.3907,0.8669,0.0379,128.6102
image_597_Nucleus.ome.tiff,image_597_Nucleus.ome_fake_B.png,0.7216,0.6064,0.0512,55.1468
image_68_Nucleus.ome.tiff,image_68_Nucleus.ome_fake_B.png,0.6678,0.2629,0.0745,158.2845
image_2102_Nucleus.ome.tiff,image_2102_Nucleus.ome_fake_B.png,0.5801,0.5266,0.0749,122.8103
image_1227_Nucleus.ome.tiff,image_1227_Nucleus.ome_fake_B.png,0.6990,0.3835,0.0558,55.9588
image_1051_Nucleus.ome.tiff,image_1051_Nucleus.ome_fake_B.png,0.7171,0.2463,0.0792,72.1893
image_2461_Nucleus.ome.tiff,image_2461_Nucleus.ome_fake_B.png,0.1446,0.7416,0.0493,126.4631
image_1766_Nucleus.ome.tiff,image_1766_Nucleus.ome_fake_B.png,0.4828,0.1543,0.1172,159.9092
image_1362_Nucleus.ome.tiff,image_1362_Nucleus.ome_fake_B.png,0.7724,0.3651,0.0601,61.7410
image_619_Nucleus.ome.tiff,image_619_Nucleus.ome_fake_B.png,0.7616,0.2011,0.0491,60.3655
image_220_Nucleus.ome.tiff,image_220_Nucleus.ome_fake_B.png,0.6151,0.4644,0.0706,266.4148
image_1373_Nucleus.ome.tiff,image_1373_Nucleus.ome_fake_B.png,0.2028,0.1335,0.5082,294.7032
image_2207_Nucleus.ome.tiff,image_2207_Nucleus.ome_fake_B.png,0.5635,0.4929,0.0804,124.9272
image_1706_Nucleus.ome.tiff,image_1706_Nucleus.ome_fake_B.png,0.7199,0.5566,0.0508,100.1286
image_1591_Nucleus.ome.tiff,image_1591_Nucleus.ome_fake_B.png,0.2782,0.2021,0.3233,184.4991
image_1171_Nucleus.ome.tiff,image_1171_Nucleus.ome_fake_B.png,0.7702,0.3694,0.0652,59.2515
image_1296_Nucleus.ome.tiff,image_1296_Nucleus.ome_fake_B.png,0.7316,0.6372,0.0410,45.1724
image_2152_Nucleus.ome.tiff,image_2152_Nucleus.ome_fake_B.png,0.4229,0.3229,0.0894,137.3866
image_514_Nucleus.ome.tiff,image_514_Nucleus.ome_fake_B.png,0.7978,0.5388,0.0399,49.5056
image_2150_Nucleus.ome.tiff,image_2150_Nucleus.ome_fake_B.png,0.7179,0.6742,0.0431,78.7102
image_2043_Nucleus.ome.tiff,image_2043_Nucleus.ome_fake_B.png,0.4563,0.1170,0.1099,160.0255
image_1547_Nucleus.ome.tiff,image_1547_Nucleus.ome_fake_B.png,0.7023,0.4475,0.0592,63.9887
image_965_Nucleus.ome.tiff,image_965_Nucleus.ome_fake_B.png,0.0331,0.0409,0.3022,172.0770
image_1309_Nucleus.ome.tiff,image_1309_Nucleus.ome_fake_B.png,0.8100,0.6015,0.0319,40.6972
image_1797_Nucleus.ome.tiff,image_1797_Nucleus.ome_fake_B.png,0.6678,0.5999,0.0585,97.4015
image_2279_Nucleus.ome.tiff,image_2279_Nucleus.ome_fake_B.png,0.6345,0.4126,0.0685,119.3790
image_2239_Nucleus.ome.tiff,image_2239_Nucleus.ome_fake_B.png,0.5901,0.6438,0.0625,105.9321
image_1442_Nucleus.ome.tiff,image_1442_Nucleus.ome_fake_B.png,0.8157,0.6906,0.0484,47.1377
image_2108_Nucleus.ome.tiff,image_2108_Nucleus.ome_fake_B.png,0.5495,0.4433,0.0774,105.1382
image_815_Nucleus.ome.tiff,image_815_Nucleus.ome_fake_B.png,0.7165,0.6203,0.0501,52.4871
image_2507_Nucleus.ome.tiff,image_2507_Nucleus.ome_fake_B.png,0.5341,0.4132,0.0352,164.0653
image_680_Nucleus.ome.tiff,image_680_Nucleus.ome_fake_B.png,0.6448,0.4860,0.1027,84.5078
image_391_Nucleus.ome.tiff,image_391_Nucleus.ome_fake_B.png,0.2958,0.1243,0.1904,296.6166
image_1729_Nucleus.ome.tiff,image_1729_Nucleus.ome_fake_B.png,0.6764,0.4782,0.0565,96.9737
image_216_Nucleus.ome.tiff,image_216_Nucleus.ome_fake_B.png,0.4954,0.6073,0.0998,298.2565
image_814_Nucleus.ome.tiff,image_814_Nucleus.ome_fake_B.png,0.5835,0.2580,0.0744,68.1753
image_2174_Nucleus.ome.tiff,image_2174_Nucleus.ome_fake_B.png,0.5908,0.1743,0.0868,140.3322
image_1587_Nucleus.ome.tiff,image_1587_Nucleus.ome_fake_B.png,0.0424,0.2317,0.2245,123.6325
image_2399_Nucleus.ome.tiff,image_2399_Nucleus.ome_fake_B.png,0.8986,0.7912,0.0171,116.4824
image_2465_Nucleus.ome.tiff,image_2465_Nucleus.ome_fake_B.png,0.8686,0.7899,0.0201,126.9149
image_1665_Nucleus.ome.tiff,image_1665_Nucleus.ome_fake_B.png,0.7839,0.5510,0.0574,54.5035
image_1256_Nucleus.ome.tiff,image_1256_Nucleus.ome_fake_B.png,0.8427,0.7531,0.0353,40.7291
image_1038_Nucleus.ome.tiff,image_1038_Nucleus.ome_fake_B.png,0.7470,0.5179,0.0831,60.1202
image_1141_Nucleus.ome.tiff,image_1141_Nucleus.ome_fake_B.png,0.5505,-0.0392,0.0894,81.4866
image_510_Nucleus.ome.tiff,image_510_Nucleus.ome_fake_B.png,0.7395,0.3233,0.0545,61.8348
image_2084_Nucleus.ome.tiff,image_2084_Nucleus.ome_fake_B.png,0.6288,0.2769,0.0737,124.3264
image_526_Nucleus.ome.tiff,image_526_Nucleus.ome_fake_B.png,0.7113,0.3093,0.0762,68.2315
image_1852_Nucleus.ome.tiff,image_1852_Nucleus.ome_fake_B.png,0.6331,0.2742,0.0675,120.5506
image_1441_Nucleus.ome.tiff,image_1441_Nucleus.ome_fake_B.png,0.2584,0.5455,0.1116,81.3306
image_85_Nucleus.ome.tiff,image_85_Nucleus.ome_fake_B.png,0.6892,0.4317,0.0653,135.8318
image_157_Nucleus.ome.tiff,image_157_Nucleus.ome_fake_B.png,0.3343,0.7611,0.0716,257.5187
image_272_Nucleus.ome.tiff,image_272_Nucleus.ome_fake_B.png,0.4975,0.2872,0.0829,166.3119
image_918_Nucleus.ome.tiff,image_918_Nucleus.ome_fake_B.png,0.6522,0.3320,0.0739,75.0179
image_1545_Nucleus.ome.tiff,image_1545_Nucleus.ome_fake_B.png,0.7041,0.2570,0.0643,70.3093
image_878_Nucleus.ome.tiff,image_878_Nucleus.ome_fake_B.png,0.6908,0.2551,0.0621,63.9999
image_1358_Nucleus.ome.tiff,image_1358_Nucleus.ome_fake_B.png,0.8257,0.3478,0.0523,58.4472
image_1020_Nucleus.ome.tiff,image_1020_Nucleus.ome_fake_B.png,0.7358,0.2014,0.0771,73.5864
image_2324_Nucleus.ome.tiff,image_2324_Nucleus.ome_fake_B.png,0.8372,0.8002,0.0212,133.8209
image_1426_Nucleus.ome.tiff,image_1426_Nucleus.ome_fake_B.png,0.7439,0.2982,0.0438,49.8342
image_137_Nucleus.ome.tiff,image_137_Nucleus.ome_fake_B.png,0.7032,0.3797,0.0759,315.4062
image_1411_Nucleus.ome.tiff,image_1411_Nucleus.ome_fake_B.png,0.7855,0.2377,0.0451,58.2898
image_1010_Nucleus.ome.tiff,image_1010_Nucleus.ome_fake_B.png,0.7250,0.3220,0.0551,61.7209
image_2572_Nucleus.ome.tiff,image_2572_Nucleus.ome_fake_B.png,0.8795,0.5779,0.0219,159.5638
image_1369_Nucleus.ome.tiff,image_1369_Nucleus.ome_fake_B.png,0.7164,0.4788,0.0564,59.5910
image_1791_Nucleus.ome.tiff,image_1791_Nucleus.ome_fake_B.png,0.7364,0.6029,0.0484,91.9156
image_1696_Nucleus.ome.tiff,image_1696_Nucleus.ome_fake_B.png,0.7021,0.1911,0.0638,68.6355
image_2249_Nucleus.ome.tiff,image_2249_Nucleus.ome_fake_B.png,0.5455,0.5256,0.0772,118.3494
image_627_Nucleus.ome.tiff,image_627_Nucleus.ome_fake_B.png,0.7608,0.4626,0.0810,80.3841
